Frage;Antwort;Block;Quelle
Welche Ursachen kann ein Insektenstich im Rachenraum haben?;Schwellung der Atemwege mit Erstickungsgefahr;LF-II-Atmung;Kommentar S. 15 (Verweis)
Was ist ein Krupp-Syndrom?;Akute Einengung der oberen Atemwege, häufig bei Kleinkindern (bellender Husten, Stridor);LF-II-Atmung;Kommentar S. 16 (Verweis)
Wie wird eine Aspiration bei Erwachsenen versorgt?;Bei leichter Verlegung: zum Husten auffordern, bei schwerer Verlegung: 5 Schläge zwischen Schulterblättern + 5 Oberbauchkompressionen im Wechsel;LF-II-Atmung;Kommentar S. 51
Wie wird eine Aspiration bei Kindern versorgt?;Bei schwerer Verlegung: 5 Schläge zwischen Schulterblättern + 5 Brustkorbkompressionen im Wechsel (KEINE Oberbauchkompressionen);LF-II-Atmung;Kommentar S. 52
Wann wird HLW mit Atem-Hilfe angewendet?;Bei Atemstillstand, Atemfrequenz < 6 oder Schnappatmung;LF-III-Herz-Kreislauf;Kommentar S. 47
Wann wird ein Larynx-Tubus Größe gewählt (Neugeborenes bis Erwachsener)?;Größe 0: Neugeborene < 5 kg, Größe 1: Babys 5–12 kg, Größe 2: Kinder 12–25 kg, Größe 3: 25 kg und < 155 cm, Größe 4: Erwachsene 155–180 cm, Größe 5: Erwachsene > 180 cm;LF-III-Herz-Kreislauf;Anhang S. 47
Welcher Blutverlust ist bei Frakturen zu erwarten?;Unterarmbruch 400 ml, Oberarmbruch 800 ml, Unterschenkelbruch 1.000 ml, Oberschenkelbruch 2.000 ml, Beckenbruch 5.000 ml;LF-IV-Verletzt;Anhang S. 47
Welche Merkhilfe gibt es für das Bewusstsein?;ZORRO: Zeitlich orientiert, reagiert, räumlich orientiert;LF-V-Bewusstsein;Kommentar S. 36
Was ist AVPU?;Alert (wach), Voice (Reaktion auf Stimme), Pain (auf Schmerzreiz), Unresponsive (keine Reaktion), vereinfachte Bewusstseinsprüfung;LF-V-Bewusstsein;Standard
Wofür steht GCS?;Glasgow Coma Scale – misst Bewusstsein (3–15 Punkte) aus Augen-, Verbaler und Motorischer Antwort;LF-V-Bewusstsein;Standard
Was sind die Gefahren einer Bewusstseinsstörung?;Fehlen der Schutzreflexe, Atemwegsverlegung durch Zunge/Fremdkörper, Aspiration, schnelle Auskühlung, übersehene Verletzungen, Vitalfunktionsausfall;LF-V-Bewusstsein;Kommentar S. 36
Welche Bewusstseinslagen gibt es?;Bewusstseinsklarheit (wach, orientiert), Bewusstseinstrübung (erweckbar), Bewusstlosigkeit (nicht erweckbar);LF-V-Bewusstsein;Kommentar S. 36
Welche Maßnahmen gelten bei allen Bewusstlosen?;Atemkontrolle, bei normaler Atmung: stabile Seitenlage, PAKET;LF-V-Bewusstsein;Kommentar S. 36
Welche besonderen Maßnahmen gelten bei bewusstlosen Motorradfahrern?;Helmabnahme zum Freihalten der Atemwege, ggf. achsengerechtes Drehen in Rückenlage, Helmabnahme wenn möglich mit 2 Helfern;LF-V-Bewusstsein;Kommentar S. 36
Welche Maßnahmen gelten bei Bewusstlosigkeit mit Verdacht auf HWS-/Kopfverletzung?;Seitenlage, Kopf-Wirbelsäule in Neutralposition stabilisieren, keine Unterpolsterung des Kopfes;LF-V-Bewusstsein;Kommentar S. 36
Welche Risikofaktoren für einen Schlaganfall gibt es?;Diabetes, hohe Blutfette, Rauchen (bes. mit Pille), Alkoholmissbrauch, hoher Blutdruck, Gerinnungsstörung, Arteriosklerose;LF-V-Bewusstsein;Kommentar S. 36
Was sind Ursachen für einen Schlaganfall?;Unblutig: Verschluss einer Hirnarterie (Infarkt), blutig: akute Blutung im Gehirn;LF-V-Bewusstsein;Kommentar S. 37
Welche Symptome können bei einem Schlaganfall auftreten?;Gefühlsstörungen, Lähmungen, einseitige Lähmung der Gesichtsmuskulatur, Krampfanfall, Sprachstörungen, Bewusstseinsstörung, Schwindel, Schluckstörung, Kopfschmerzen;LF-V-Bewusstsein;Kommentar S. 37
Wie wird ein Schlaganfall versorgt?;Rasch Arzt aufsuchen lassen, auch wenn Symptome nur vorübergehend waren, ansprechbar: wie bei Problemen im Kopf, bewusstlos: wie alle Bewusstlosen, erhöhter Oberkörper, PAKET;LF-V-Bewusstsein;Kommentar S. 37
Was ist der FAST-Test?;Face (Gesichtslähmung), Arms (Arm-Schwäche), Speech (Sprachstörung), Time (Zeit = sofort Notruf);LF-V-Bewusstsein;Kommentar S. 37
Welche Ursachen können Krampfanfälle haben?;Epilepsie, Unterzuckerung, SHT, Substanzmissbrauch, Infektionen, Fieber (Kinder);LF-V-Bewusstsein;Kommentar S. 37
Welche Reize können Krampfanfälle auslösen?;Flackerndes Licht (Computerspiele, Stroboskop, Blaulicht), Hell-Dunkel-Wechsel, Sinnesreize;LF-V-Bewusstsein;Kommentar S. 37
Wie erkennt man einen Krampfanfall?;Unruhe, Angstzustände, Schweißausbrüche, Halluzinationen, dann Zusammensacken, ggf. Initialschrei, tonische/klonische Krämpfe, Schaum vor dem Mund, Bewusstlosigkeit;LF-V-Bewusstsein;Kommentar S. 37
Welche Maßnahmen gelten während des Krampfanfalls?;Betroffenen vor weiteren Verletzungen schützen, Gegenstände entfernen/abpolstern, NICHT festhalten, ggf. Sauerstoff;LF-V-Bewusstsein;Kommentar S. 37
Welche Maßnahmen gelten nach einem Krampfanfall?;Stabile Seitenlage, Bodycheck, Blutdruckmessung, Maßnahmen je nach Verletzungen, scheinbar bewusstseinsklare Patienten nicht alleine lassen, PAKET;LF-V-Bewusstsein;Kommentar S. 38
Welche Ursachen hat eine Unterzuckerung?;Geringe Zuckeraufnahme, erhöhter Zuckerverbrauch (körperliche Anstrengung), Alkoholkonsum, Diabetes;LF-V-Bewusstsein;Kommentar S. 38
Welche Symptome hat eine Unterzuckerung?;Schocksymptome (schneller Puls, blasse/kaltschweißige Haut, Zittern, Frieren), Unruhe, Schwäche, Heißhunger, Bewusstseinstrübung, Krämpfe;LF-V-Bewusstsein;Kommentar S. 38
Wie wird eine Unterzuckerung versorgt?;PAKET, bei erhaltenem Bewusstsein: süße Getränke oder Traubenzucker, ggf. Blutzuckermessung, bei Bewusstlosigkeit: wie alle Bewusstlosen;LF-V-Bewusstsein;Kommentar S. 38
Wie wird eine Blutzuckermessung durchgeführt?;Material: Messgerät, Lanzette, Teststreifen, Kompresse, Desinfektionsmittel, Wundschnellverband, seitliche Fingerkuppen oder Ohrläppchen;LF-V-Bewusstsein;Kommentar S. 38
Welche Schritte gehören zur Blutzuckermessung?;Einstichstelle ggf. reinigen, ersten Bluttropfen verwerfen, nicht auspressen, mit Teststreifen aufnehmen, Messergebnis abwarten, mit Zeit dokumentieren;LF-V-Bewusstsein;Kommentar S. 38
Was ist eine Unterkühlung?;Körper gibt mehr Wärme an die Umgebung ab als er durch Nährstoffabbau gewinnen kann;LF-V-Bewusstsein;Kommentar S. 38
Wie erkennt man eine Unterkühlung?;Situation (Witterung, kühler Raum), Aussage "mir ist kalt", kühle blasse Haut, Frösteln/Zittern in Frühphase, später Schläfrigkeit, abgesenkte AF/Puls;LF-V-Bewusstsein;Kommentar S. 38
Wie wird eine Unterkühlung versorgt?;Betroffenen ins Warme bringen, feuchte Kleidung ersetzen, im Frühstadium warme gezuckerte Getränke und Bewegung, im fortgeschrittenen Verlauf so wenig wie möglich bewegen;LF-V-Bewusstsein;Kommentar S. 39
Was ist ein Hitzschlag?;Akut lebensbedrohliche Situation mit Versagen der Wärmeregulation und extremer Überwärmung des Körpers;LF-V-Bewusstsein;Kommentar S. 39
Welche Maßnahmen gelten beim Hitzschlag?;Liegen mit erhöhtem Oberkörper, Kopf in Neutralposition, Bekleidung öffnen, mildes Kühlen (feuchte Umschläge/Wadenwickel), PAKET, ggf. stabile Seitenlage;LF-V-Bewusstsein;Kommentar S. 39
Was ist ein Sonnenstich?;Schädigung durch intensive Sonneneinstrahlung auf ungeschützten Kopf, kann auch bei kühlen Temperaturen auftreten;LF-V-Bewusstsein;Kommentar S. 39
Welche Erkennungszeichen hat ein Sonnenstich?;Roter heißer Kopf, Kopf-/Nackenschmerzen, Nackensteifigkeit, Schwindel, Übelkeit, Erbrechen, Bewusstseinsstörungen;LF-V-Bewusstsein;Kommentar S. 39
Welche Maßnahmen gelten beim Sonnenstich?;In den Schatten bringen, wie bei allen Problemen im Kopf, mildes Kühlen mit feucht-kalten Tüchern, PAKET;LF-V-Bewusstsein;Kommentar S. 39
Welche Aufnahmewege für Gifte gibt es?;Verdauungswege (oral), Atemwege (inhalatorisch), Haut/Schleimhäute (perkutan), direkt ins Blut (intravenös);LF-V-Bewusstsein;Kommentar S. 39
Welche Erkennungszeichen einer Vergiftung gibt es?;Giftige Substanzen, Injektionsbesteck, Gase/Rauch, Terrarium, Essensreste, Einstichstellen, Übelkeit, Erbrechen, Krämpfe, Vitalstörungen;LF-V-Bewusstsein;Kommentar S. 40
Welche Maßnahmen gelten bei Vergiftungen?;Eigenschutz, ggf. Rettung durch Fachpersonal, PAKET, Schockbekämpfung, KEIN Erbrechen auslösen, Giftreste asservieren;LF-V-Bewusstsein;Kommentar S. 40
Welche Giftinformationszentralen-Nummer gilt?;In Deutschland meist (0)Vorwahl 19240, im Telefonbuch unter "Giftnotruf";LF-V-Bewusstsein;Kommentar S. 40
Wie wird eine Vergiftung über die Atemwege versorgt?;Retten aus Gefahrenbereich unter Eigenschutz, Frischluft, ggf. Beatmung;LF-V-Bewusstsein;Kommentar S. 40
Welche Aufgaben hat die Bauchspeicheldrüse?;Verdauungsfunktion (Abgabe von Bauchspeichel ins Duodenum), Regulation des Blutzuckers;LF-VI-Schmerzen;Kommentar S. 42
Welche Aufgaben hat die Leber?;Wesentliches Stoffwechselorgan, liegt im rechten Oberbauch, bedeckt vom rechten Rippenbogen;LF-VI-Schmerzen;Kommentar S. 42
Welche Aufgaben hat die Milz?;Teil des Immunsystems, liegt im linken Oberbauch unter dem Rippenbogen;LF-VI-Schmerzen;Kommentar S. 42
Welche Aufgabe hat die Gallenblase?;Speicherung der von der Leber kommenden Galle, Abgabe ins Duodenum zur Fettverdauung;LF-VI-Schmerzen;Kommentar S. 42
Was ist ein akutes Abdomen?;Sammelbegriff für alle Schmerzen und Störungen im Bauchraum, die umgehendes Eingreifen erfordern;LF-VI-Schmerzen;Kommentar S. 43
Welche Ursachen kann ein akutes Abdomen haben?;Infektionen, Magen-/Darmgeschwüre, Darmverschluss, Steineinklemmungen, Entzündungen (Appendizitis), gynäkologische Ursachen, Bauchtraumata, Herzinfarkt;LF-VI-Schmerzen;Kommentar S. 43
Wie erkennt man ein akutes Abdomen?;Gekrümmte Schonhaltung, plötzliche heftige Bauchschmerzen, Übelkeit/Erbrechen/Durchfall, bekannte Baucherkrankungen, Blut im Urin/Stuhl, Schockzeichen, brettharte Bauchdecke;LF-VI-Schmerzen;Kommentar S. 43
Welche Maßnahmen gelten bei akutem Abdomen?;PAKET, Lagerung nach Wunsch (meist bauchdeckenentlastend mit Knierolle), offene Wunden keimarm und druckfrei abdecken, Fremdkörper in Wunde belassen, Ess-/Trink-/Rauchverbot;LF-VI-Schmerzen;Kommentar S. 43
Was kennzeichnet einen kolikartigen Schmerz?;An- und abschwellender Schmerz mit kurzen Zwischenpausen, z.B. bei Nieren-/Gallensteinen, Durchfallerkrankungen;LF-VI-Schmerzen;Kommentar S. 44
Was kennzeichnet einen Entzündungsschmerz?;Immer stärker werdender Schmerz, z.B. bei Blasenentzündung, Wurmfortsatzentzündung;LF-VI-Schmerzen;Kommentar S. 44
Was kennzeichnet einen Rupturschmerz?;Immer stärker werdender Schmerz, der plötzlich abbricht und nach einiger Zeit wieder ansteigt, z.B. bei Wurmfortsatz-Durchbruch;LF-VI-Schmerzen;Kommentar S. 44
Was kennzeichnet einen pochenden Schmerz?;Pochender Schmerz, z.B. bei Verrenkungen, Verstauchungen, Quetschungen, Eiteransammlung;LF-VI-Schmerzen;Kommentar S. 44
Was kennzeichnet einen brennenden Schmerz?;Brennender Schmerz, z.B. bei Organentzündung, Durchblutungsstörung, Infektion;LF-VI-Schmerzen;Kommentar S. 44
Wie wird die Schmerzintensität ermittelt?;Schmerzskala: 0 = keine Schmerzen, 10 = schlimmster vorstellbarer Schmerz;LF-VI-Schmerzen;Kommentar S. 44
Welche Maßnahmen gibt es je nach Schmerzart?;Kühlen bei Verrenkung/kleinflächiger Verbrennung, warme Umschläge bei Koliken, Entlastungslagerung bei akutem Abdomen, erhöhter Oberkörper bei Brustkorb-Schmerzen, Ruhigstellung;LF-VI-Schmerzen;Kommentar S. 44
Welche Besonderheiten haben kindliche Bauchorgane?;Leber ist relativ groß und ragt über rechten Rippenbogen hinaus, Milz ist relativ groß im linken Mittelbauch, dadurch verletzungsanfälliger;LF-VI-Schmerzen;Kommentar S. 42
Welche Maßnahmen gelten bei mehreren Verletzten?;Eigenschutz, Überblick über Anzahl verschaffen, gezielter Notruf, situationsabhängiges Vorgehen, sich nicht überschätzen, Weisungen von Führungskräften befolgen;LF-VII-Sondersituationen;Kommentar S. 46
Welche auslösenden Faktoren für Gewalt im Einsatz gibt es?;Angst, Stress, Überlastung, Alkohol/Drogen, Gruppendynamik, Provokation, Wahrnehmungs-/Kommunikationsstörung, Konflikte, Anspruchsdenken, häusliche Gewalt;LF-VII-Sondersituationen;Kommentar S. 46
Welche Deeskalationsstrategien gibt es?;Ruhiges und besonnenes Auftreten, nicht provozieren lassen, kein Rechthaben um jeden Preis, frühzeitig Hilfe anfordern, Talk down, Stop, Rückzug;LF-VII-Sondersituationen;Kommentar S. 46
Welche Symptome hat ein Stresssyndrom nach belastenden Einsätzen?;Lethargie, Antriebslosigkeit, sozialer Rückzug, somatische Störungen, Schlafstörungen, Flashbacks, Vermeidungshaltung, Substanzmissbrauch;LF-VII-Sondersituationen;Kommentar S. 46
Welche Einsatznachsorge-Möglichkeiten gibt es?;Einsatznachsorgeteams deutschlandweit, telefonische Anforderung über 24h-Meldezentrale, kostenfrei für Johanniter, Tel: 0800 2699701;LF-VII-Sondersituationen;Kommentar S. 46
Welche Reihenfolge gilt beim stabilisierenden Eingreifen bei Gewalt?;Eigenschutz, Lagebeurteilung, Deeskalation, Rückzug wenn nötig;LF-VII-Sondersituationen;Kommentar S. 46
Was ist eine geschlossene Fraktur?;Knochenbruch ohne durchgehende Hautverletzung;LF-IV-Verletzt;Kommentar S. 32
Was ist eine offene Fraktur?;Knochenbruch mit durchgehender Hautverletzung (Knochen kommuniziert mit Außenwelt);LF-IV-Verletzt;Kommentar S. 32
Welche Schädel-Hirn-Verletzungen werden unterschieden?;Primär (Gehirnerschütterung, -prellung, -quetschung) und sekundär (Hirnödem, Blutung, Infektionen);LF-IV-Verletzt;Kommentar S. 33
Welche Bereiche der HWS-Immobilisation gibt es?;Stifneck (Halskrause), Vakuummatratze, manuelle Stabilisierung;LF-IV-Verletzt;Standard
Was ist das Verhältnis bei HLW mit Kindern (2 Helfer)?;15:2 (15 Kompressionen, 2 Beatmungen);LF-III-Herz-Kreislauf;Kommentar S. 50
Wie tief sind die Kompressionen bei Kindern?;1/3 des Brustkorb-Durchmessers (ca. 4–5 cm);LF-III-Herz-Kreislauf;Kommentar S. 50
Wie viele Initialbeatmungen bei Kindern-HLW?;5 Initialbeatmungen vor Beginn der Kompressionen;LF-III-Herz-Kreislauf;Kommentar S. 50
Welche Maßnahmen gibt es bei Aspirations-Verdacht bei Kindern?;5 Schläge zwischen Schulterblättern + 5 Brustkorbkompressionen (KEINE Oberbauchkompressionen);LF-III-Herz-Kreislauf;Kommentar S. 52
Welche Besonderheit gilt für Medikamente bei Kindern?;Dosis gewichtsbasiert (mg/kg), niemals Standard-Erwachsenendosis;LF-IV-Verletzt;Standard
Was sind die 4 Pfeiler der Johanniter-Pädagogik?;Kooperationskultur, Teilnehmerorientierung, Lernfeld-/Handlungsorientierung, Praxisorientierung;LF-Pädagogik;Pädagogische Handreichung S. 6
Welches Verhältnis hat Theorie zu Praxis in der JUH-EH-Ausbildung?;1/3 Theorie, 2/3 Praxis;LF-Pädagogik;Pädagogische Handreichung S. 7
Was ist CRM (Crew Resource Management)?;Kommunikations- und Teamkonzept aus der Luftfahrt, übertragen auf Notfallmedizin;LF-CRM;Pädagogische Handreichung
Was sind die 5 CRM-Prinzipien?;Situational Awareness, Closed-Loop, Speak-Up, Team-Leader-Rolle, 10-für-10 / Time-Outs;LF-CRM;Pädagogische Handreichung
Was bedeutet 10-für-10 / Time-Out?;Mini-Debriefing im Lauf eines Einsatzes: alle 2 Min Wechsel, kurze Reflexion;LF-CRM;Standard
Was ist AAR (After Action Review)?;Strukturierte Nachbesprechung nach Einsatz: Was lief gut? Was nicht? Was ändern wir?;LF-CRM;Standard
Was ist Closed-Loop-Kommunikation?;Empfänger wiederholt die Anordnung, Sender bestätigt → Missverständnisse werden vermieden;LF-CRM;Pädagogische Handreichung
Was bedeutet Speak-Up-Kultur?;Jeder darf Bedenken äußern, egal welche Hierarchie oder Erfahrungsstufe;LF-CRM;Pädagogische Handreichung
Wer übernimmt die Team-Leader-Rolle?;Eine Person koordiniert und verteilt Aufgaben, andere führen aus;LF-CRM;Pädagogische Handreichung
Was bedeutet MANV?;Massenanfall von Verletzten – Lage, in der Standardressourcen nicht ausreichen;LF-VII-Sondersituationen;Kommentar S. 46
Ab wie vielen Verletzten spricht man von MANV?;Ab ca. 5–10 Verletzten (je nach Definition), Schwelle ist Verhältnis Patient:Helfer;LF-VII-Sondersituationen;Standard
Welche Farben haben die mSTaRT-Triage-Kategorien?;Rot (Sofort), Gelb (Dringend), Grün (Nicht dringend), Blau (Hoffnungslos), Schwarz (Tot);LF-VII-Sondersituationen;Standard
Welche Aufgabe haben LNA und OrgL im MANV?;LNA = Leitender Notarzt (medizinische Führung), OrgL = Organisatorischer Leiter Rettungsdienst (Logistik);LF-VII-Sondersituationen;Standard
Wann wird eine Beckenschlinge angelegt?;Bei Verdacht auf Beckenfraktur zur Reduktion des Blutverlust-Risikos;LF-IV-Verletzt;Standard
Welche Maßnahmen sind "Wie bei allen Problemen in der Brust"?;Lagerung sitzend mit aktivierter Atemhilfsmuskulatur, beengende Kleidung öffnen, Frischluft, Atemanweisungen, PAKET, Sauerstoffgabe;LF-II-Atmung;Kommentar S. 13
Welche Maßnahmen sind "Wie bei allen Problemen im Kopf"?;Liegend mit erhöhtem Oberkörper, Kopf in Neutralposition, nicht unterpolstern, PAKET;LF-V-Bewusstsein;Kommentar S. 39
Welche Maßnahmen sind "Wie bei allen Problemen im Bauch"?;PAKET, Lagerung nach Wunsch des Betroffenen, meist bauchdeckenentlastende Lagerung, offene Wunden keimarm und druckfrei abdecken, Ess-/Trinkverbot;LF-VI-Schmerzen;Kommentar S. 43
Welche Maßnahmen sind "Wie bei allen Bewusstlosen"?;Atemkontrolle, bei normaler Atmung stabile Seitenlage, PAKET;LF-V-Bewusstsein;Kommentar S. 36
Welche Maßnahmen sind "Wie bei allen Verletzungen"?;Hinsetzen/hinlegen lassen, bedrohliche Blutungen erkennen und stillen, Ruhigstellung, endgültige Lagerung, Wundversorgung, parallel PAKET;LF-IV-Verletzt;Kommentar S. 25
Welche generellen Grundsätze gelten für den Sanitätsdienst?;Eigenschutz geht vor, sichere Beurteilung der Lage, gezielte Maßnahmen, PAKET als Handlungsgrundgerüst, Dokumentation, Übergabe;LF-I-Basiskompetenzen;Kommentar S. 8
Wie wird die "4-S-Regel" der psychischen Ersten Hilfe umgesetzt?;Sagen, dass man da ist (Sicherheit), Schützen vor Zuschauern, Schirmen ab gegen Kälte, Sorgen für Ruhe;LF-I-Basiskompetenzen;Kommentar S. 10
Welche Regeln für Umgang mit alten Menschen gelten?;Grammatikalisch korrekte Sprache, medizinische Fachbegriffe minimieren, nicht duzen, nicht mit Oma/Opa anreden, Behinderungen berücksichtigen;LF-I-Basiskompetenzen;Kommentar S. 11
Welche Regeln für Umgang mit Kindern gelten?;Auf Augenhöbe begeben, altersgerecht ansprechen, nicht lügen, Bezugspersonen einbinden, ruhige Atmosphäre, vertrauten Gegenstand an die Hand geben;LF-I-Basiskompetenzen;Kommentar S. 11
Welche Regeln für Umgang mit Behinderten gelten?;Kein falsches Mitleid, Erwachsene mit Sie ansprechen, keine Behinderung ignorieren, gleichwertig behandeln, besondere Hilfe anbieten, nicht aufdrängen;LF-I-Basiskompetenzen;Kommentar S. 11
Welche Regeln für Umgang mit Ausländern gelten?;Bei Verständigungsschwierigkeiten Angehörige um Hilfe bitten, Sitten/Gebräuche respektieren, langsam und deutlich sprechen;LF-I-Basiskompetenzen;Kommentar S. 11
Welche interkulturellen Aspekte sind im Einsatz wichtig?;Helfende handeln in fremdem kulturellem Umfeld, kulturell verschiedene Gruppen, (sozio)kulturelle Unterschiede;LF-I-Basiskompetenzen;Kommentar S. 11
Welche Komplikationen kann die Schocklage bei SHT verursachen?;Erhöhter Hirndruck durch venösen Rückfluss;LF-IV-Verletzt;Kommentar S. 33
Wann darf keine Schocklage angewendet werden?;Bei Schädel-Hirn-Trauma, Wirbelsäulenverletzung, Becken- oder Beinfrakturen;LF-III-Herz-Kreislauf;Kommentar S. 21
Wann wird die stabile Seitenlage angewendet?;Bei Bewusstlosigkeit mit vorhandener normaler Atmung;LF-V-Bewusstsein;Kommentar S. 36
Wann wird die Schocklage angewendet?;Bei Schockzeichen (blass, kaltschweißig, schneller Puls) und KEIN SHT, keine Beinfraktur;LF-III-Herz-Kreislauf;Kommentar S. 21
Wann wird die Oberkörperhochlagerung angewendet?;Bei Atemnot oder Brustschmerzen (z.B. Herzinfarkt, Asthma);LF-II-Atmung;Kommentar S. 13
Wann wird die bauchdeckenentlastende Lagerung angewendet?;Bei akutem Abdomen – Patient nimmt die Lage meist selbst ein (Embryonalhaltung, Knierolle);LF-VI-Schmerzen;Kommentar S. 43
Welche Inhalte gehören zur strukturierten Traumaversorgung (ABCDE)?;A=Atemwege frei? B=Atemstörung? C=Kreislaufstörung? D=Neurologische Einschränkungen? E=Begleitumstände?;LF-I-Basiskompetenzen;Kommentar S. 48
Welche Probleme können bei ABCDE-Priorität A auftreten?;Verlegte Atemwege (Fremdkörper, Zurückfallen der Zunge), Gefahr späterer Verlegung (Erbrechen);LF-I-Basiskompetenzen;Kommentar S. 48
Welche Maßnahmen gibt es bei ABCDE-Priorität A?;Fremdkörperbeseitigung, lebensrettender Handgriff, stabile Seitenlage, ständige Kontrolle der Atemwege, Absaugbereitschaft;LF-I-Basiskompetenzen;Kommentar S. 48
Welche Maßnahmen gibt es bei ABCDE-Priorität B?;Atemwege sichern, Beatmung (Maske-Beutel/Larynx-Tubus), Notarzt nachfordern, Sauerstoffgabe, ständige Kontrolle der Atmung;LF-I-Basiskompetenzen;Kommentar S. 48
Welche Maßnahmen gibt es bei ABCDE-Priorität C?;Herz-Lungen-Wiederbelebung, Notarzt nachfordern, Beruhigen des Patienten, Schocklage (wenn indiziert);LF-I-Basiskompetenzen;Kommentar S. 48
Welche Maßnahmen gibt es bei ABCDE-Priorität D?;Abpolsterung und Fixierung der gelähmten Extremitäten, Notarzt-Nachforderung, bei Bewusstseinsstörung Seitenlage, ggf. Zucker verabreichen;LF-I-Basiskompetenzen;Kommentar S. 48
Welche Maßnahmen gibt es bei ABCDE-Priorität E?;Überblick verschaffen, Patienten ggf. entkleiden, Bodycheck, Wärmeerhalt, Gift sichern, Notarzt nachfordern;LF-I-Basiskompetenzen;Kommentar S. 48
Wann muss der Notarzt zwingend gerufen werden?;Bei Lebensgefahr oder kritischen Vitalparametern (Atemstörung, Kreislaufstillstand, Schock, Bewusstlosigkeit, schwerer Brustschmerz, Krampfanfall > 5 Min, schwere Blutung, MANV);LF-I-Basiskompetenzen;Kommentar S. 47
Was bedeutet "Behandle nie einen Wert, sondern immer den Menschen"?;Normwerte sind Richtschnur mit Spielraum, klinisches Bild ist entscheidend, nicht der einzelne Messwert;LF-I-Basiskompetenzen;Kommentar S. 47
Welche Bedeutung hat die Lernfeld-/Handlungsfeldstruktur?;Verbindet übergreifend, strukturgebend, Handlungsfeld ist kleinste pädagogische Einheit, Lernfeld übergreifend;LF-Pädagogik;Pädagogische Handreichung S. 5
Was bedeutet Handlungsorientierung in der JUH-Pädagogik?;Lernen am konkreten Fall, Theorie-Praxis-Verknüpfung, 3 Wiederholungen pro Maßnahme;LF-Pädagogik;Pädagogische Handreichung S. 6
Was bedeutet Teilnehmerorientierung in der JUH-Pädagogik?;Bedarfsanalyse am Anfang, Lerntempo und -tiefe nach TN;LF-Pädagogik;Pädagogische Handreichung S. 5
Welche Fortbildungs-Routine gilt für SanH?;Alle 2 Jahre Aufbauschulung (8 UE), bei größeren Pausen Einzelschulungen, Fortbildungsordnung 2016;LF-I-Basiskompetenzen;Fortbildungsverordnung S. 6
